# Column info
#------------
#   1. Redshift
#   2. Omega_m
#   3. Omega_DE
#   4. w
#   5. D_A (ang. diam. distance, in h^{-1} Mpc
#   6. D_L (luminosity distance, in h^{-1} Mpc
#   7. DM (distance modulus), in mags + 5 log h
#   8. t_l (lookback time), in h^{-1} years
#   9. 4*PI*D_L^2, in h^{-2} Mpc^2
#  10. 4*PI*D_L^2, in h^{-2} cm^2
#  11. Physical distance subtending 1 arcsec, in h^{-1} kpc
#  12. Angle subtended by 1 h^{-1} Mpc, in arcmin
#  13. Angle subtended by 1 h^{-1} COMOVING Mpc, in arcmin
#
#
#  z   Om_m Om_L  w   D_A  D_L  DM     t_l     4*PI*DL^2 4*PI*DL^2 1asec  1Mpc  1Mpc
#----- ---- ---- ---- ---- ---- ----- --------- --------- --------- ----- ----- -----
 0.100 0.30 0.70 -1.0  266  322 37.54 9.126e+08 1.302e+06 1.251e+55  1.29 12.92 11.75
 0.150 0.30 0.70 -1.0  377  499 38.49 1.323e+09 3.125e+06 3.003e+55  1.83  9.12  7.93
 0.200 0.30 0.70 -1.0  476  685 39.18 1.706e+09 5.901e+06 5.671e+55  2.31  7.22  6.02
 0.250 0.30 0.70 -1.0  564  881 39.73 2.063e+09 9.757e+06 9.376e+55  2.73  6.10  4.88
 0.300 0.30 0.70 -1.0  642 1086 40.18 2.397e+09 1.481e+07 1.423e+56  3.11  5.35  4.12
 0.350 0.30 0.70 -1.0  712 1298 40.57 2.710e+09 2.118e+07 2.036e+56  3.45  4.83  3.57
 0.400 0.30 0.70 -1.0  775 1519 40.91 3.003e+09 2.899e+07 2.786e+56  3.76  4.44  3.17
 0.450 0.30 0.70 -1.0  831 1746 41.21 3.278e+09 3.833e+07 3.683e+56  4.03  4.14  2.85
 0.500 0.30 0.70 -1.0  880 1981 41.48 3.535e+09 4.930e+07 4.738e+56  4.27  3.90  2.60
 0.550 0.30 0.70 -1.0  925 2222 41.73 3.777e+09 6.202e+07 5.960e+56  4.48  3.72  2.40
 0.600 0.30 0.70 -1.0  964 2468 41.96 4.004e+09 7.656e+07 7.357e+56  4.67  3.57  2.23
 0.650 0.30 0.70 -1.0  999 2721 42.17 4.218e+09 9.302e+07 8.939e+56  4.84  3.44  2.08
