	#	Filter
------------------------------------------------------------------------------
	1	Bolometric
	2	CFHTMegaCam_g
	3	CFHTMegaCam_i
	4	CFHTMegaCam_r
	5	CFHTMegaCam_u
	6	CFHTMegaCam_z
	7	Cousins_I
	8	Cousins_R
	9	F160W_NICMOS
	10	F300W_WFPC2
	11	F435W_ACSWFC
	12	F450W_WFPC2
	13	F475W_ACSWFC
	14	F502N_ACSWFC
	15	F550M_ACSWFC
	16	F555W_ACSWFC
	17	F606W_ACSWFC
	18	F606W_WFPC2
	19	F625W_ACSWFC
	20	F658N_ACSWFC
	21	F660N_ACSWFC
	22	F775W_ACSWFC
	23	F814W_ACSWFC
	24	F814W_WFPC2
	25	F850LP_ACSWFC
	26	F892N_ACSWFC
	27	Johnson_B
	28	Johnson_H
	29	Johnson_J
	30	Johnson_K
	31	Johnson_U
	32	Johnson_V
	33	LSST_G
	34	LSST_I
	35	LSST_R
	36	LSST_U
	37	LSST_Y
	38	LSST_Z
	39	SDSS_g
	40	SDSS_i
	41	SDSS_r
	42	SDSS_u
	43	SDSS_z
	44	F475X_WFC3
	45	F600LP_WFC3
	46	PERL_IS_STOOPID_AND_CANNOT_MATCH_LAST_FILTER
